student_no,raw_score,exam_round,year,grade,student_id
2330652,98.0,1,2021,中2,1362
2330679,76.0,1,2021,中2,1320
2330695,88.0,1,2021,中2,1363
2330725,89.0,1,2021,中2,1364
2330741,81.0,1,2021,中2,1287
2330750,87.0,1,2021,中2,1324
2330806,94.0,1,2021,中2,1327
2330814,89.0,1,2021,中2,1366
2330849,100.0,1,2021,中2,1328
2330903,63.0,1,2021,中2,1329
2330911,94.0,1,2021,中2,1292
2330920,62.0,1,2021,中2,1331
2330962,85.0,1,2021,中2,1372
2331004,92.0,1,2021,中2,1295
2331012,74.0,1,2021,中2,1333
2331020,90.0,1,2021,中2,1374
2331098,76.0,1,2021,中2,1378
2331101,86.0,1,2021,中2,1336
2331144,93.0,1,2021,中2,1338
2331152,86.0,1,2021,中2,1339
2331195,100.0,1,2021,中2,1380
2331209,81.0,1,2021,中2,1340
2330040,79.0,2,2021,中2,1261
2330059,94.0,2,2021,中2,1343
2330091,74.0,2,2021,中2,1264
2330130,67.0,2,2021,中2,1345
2330148,77.0,2,2021,中2,1303
2330156,76.0,2,2021,中2,1346
2330199,93.0,2,2021,中2,1306
2330202,78.0,2,2021,中2,1307
2330210,82.0,2,2021,中2,1347
2330245,82.0,2,2021,中2,1309
2330253,92.0,2,2021,中2,1349
2330288,64.0,2,2021,中2,1269
2330318,71.0,2,2021,中2,1351
2330342,88.0,2,2021,中2,1271
2330423,78.0,2,2021,中2,1314
2330458,84.0,2,2021,中2,1315
2330466,60.0,2,2021,中2,1354
2330482,70.0,2,2021,中2,1355
2330547,,2,2021,中2,1280
2330563,,2,2021,中2,1281
2330571,77.0,2,2021,中2,1282
2330601,68.0,2,2021,中2,1283
2330610,50.0,2,2021,中2,1317
2330687,58.0,2,2021,中2,1286
2330709,69.0,2,2021,中2,1321
2330792,59.0,2,2021,中2,1365
2330822,89.0,2,2021,中2,1289
2330830,61.0,2,2021,中2,1367
2330865,72.0,2,2021,中2,1369
2330873,53.0,2,2021,中2,1290
2330890,61.0,2,2021,中2,1291
2330938,88.0,2,2021,中2,1330
2330946,72.0,2,2021,中2,1371
2330954,58.0,2,2021,中2,1332
2331055,,2,2021,中2,1376
2331063,50.0,2,2021,中2,1335
2331080,52.0,2,2021,中2,1377
2331128,87.0,2,2021,中2,1337
2331160,74.0,2,2021,中2,1298
2331187,93.0,2,2021,中2,1300
2330016,68.0,2,2021,中2,1341
2330024,67.0,2,2021,中2,1342
2330032,73.0,2,2021,中2,1301
2330067,98.0,2,2021,中2,1262
2330075,40.0,2,2021,中2,1263
2330083,62.0,2,2021,中2,1344
2330121,56.0,2,2021,中2,1266
2330180,74.0,2,2021,中2,1305
2330237,45.0,2,2021,中2,1308
2330261,77.0,2,2021,中2,1268
2330270,81.0,2,2021,中2,1310
2330326,60.0,2,2021,中2,1352
2330334,50.0,2,2021,中2,1311
2330385,97.0,2,2021,中2,1313
2330393,63.0,2,2021,中2,1273
2330415,66.0,2,2021,中2,1275
2330440,87.0,2,2021,中2,1277
2330474,71.0,2,2021,中2,1278
2330490,47.0,2,2021,中2,1356
2330504,78.0,2,2021,中2,1316
2330580,66.0,2,2021,中2,1360
2330636,89.0,2,2021,中2,1284
2330628,,2,2021,中2,1318
2330660,88.0,2,2021,中2,1285
2330717,72.0,2,2021,中2,1322
2330768,70.0,2,2021,中2,1325
2330733,,2,2021,中2,1323
2330776,70.0,2,2021,中2,1288
2330784,69.0,2,2021,中2,1326
2330857,78.0,2,2021,中2,1368
2330881,71.0,2,2021,中2,1370
2330970,87.0,2,2021,中2,1373
2330989,62.0,2,2021,中2,1293
2330997,64.0,2,2021,中2,1294
2331039,59.0,2,2021,中2,1334
2331047,78.0,2,2021,中2,1375
2331071,89.0,2,2021,中2,1296
2331110,84.0,2,2021,中2,1297
2331136,67.0,2,2021,中2,1379
2331179,62.0,2,2021,中2,1299
2330105,41.0,2,2021,中2,1302
2330113,53.0,2,2021,中2,1265
2330164,90.0,2,2021,中2,1267
2330172,83.0,2,2021,中2,1304
2330229,66.0,2,2021,中2,1348
2330296,53.0,2,2021,中2,1350
2330300,65.0,2,2021,中2,1270
2330350,73.0,2,2021,中2,1312
2330369,75.0,2,2021,中2,1272
2330377,65.0,2,2021,中2,1353
2330407,51.0,2,2021,中2,1274
2330431,85.0,2,2021,中2,1276
2330512,,2,2021,中2,1357
2330520,80.0,2,2021,中2,1358
2330539,68.0,2,2021,中2,1279
2330555,49.0,2,2021,中2,1359
2330598,64.0,2,2021,中2,1361
2330644,81.0,2,2021,中2,1319
2330652,78.0,2,2021,中2,1362
2330679,82.0,2,2021,中2,1320
2330695,75.0,2,2021,中2,1363
2330725,80.0,2,2021,中2,1364
2330741,74.0,2,2021,中2,1287
2330750,88.0,2,2021,中2,1324
2330806,82.0,2,2021,中2,1327
2330814,79.0,2,2021,中2,1366
2330849,87.0,2,2021,中2,1328
2330903,57.0,2,2021,中2,1329
2330911,84.0,2,2021,中2,1292
2330920,,2,2021,中2,1331
2330962,83.0,2,2021,中2,1372
2331004,70.0,2,2021,中2,1295
2331012,65.0,2,2021,中2,1333
2331020,51.0,2,2021,中2,1374
2331098,90.0,2,2021,中2,1378
2331101,77.0,2,2021,中2,1336
2331144,83.0,2,2021,中2,1338
2331152,61.0,2,2021,中2,1339
2331195,89.0,2,2021,中2,1380
2331209,72.0,2,2021,中2,1340
