student_id,course_name,name,scaled
1364,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.92
1365,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.67
1366,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.82
1367,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.87
1368,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.61
1369,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.62
1370,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.54
1371,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.56
1372,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.75
1373,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.58
1374,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.73
1375,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.64
1376,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.69
1377,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.66
1378,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.54
1379,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.54
1380,2020年度数学[中1]C組,2020_中学_1年_数学_Benesse模試1回,0.6
326,2020年度数学[中2]A組,2128_中学_2年_数学_Benesse模試1回,0.9
286,2020年度数学[中2]A組,2127_中学_2年_数学_Benesse模試1回,0.56
369,2020年度数学[中2]A組,2126_中学_2年_数学_Benesse模試1回,0.74
330,2020年度数学[中2]A組,2125_中学_2年_数学_Benesse模試1回,0.9
333,2020年度数学[中2]A組,2124_中学_2年_数学_Benesse模試1回,0.6
336,2020年度数学[中2]A組,2123_中学_2年_数学_Benesse模試1回,0.88
372,2020年度数学[中2]A組,2122_中学_2年_数学_Benesse模試1回,0.68
337,2020年度数学[中2]A組,2121_中学_2年_数学_Benesse模試1回,0.88
289,2020年度数学[中2]A組,2120_中学_2年_数学_Benesse模試1回,0.64
