student_id,scaled,course_name,name,exam_round,year,grade,raw_score,subject,student_no,time_label
2228,0.76,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,76.0,数学,,2022年度 中1 第2回
2229,0.84,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,84.0,数学,,2022年度 中1 第2回
2230,0.87,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,87.0,数学,,2022年度 中1 第2回
2231,0.68,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,68.0,数学,,2022年度 中1 第2回
2232,0.83,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,83.0,数学,,2022年度 中1 第2回
2233,0.79,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,79.0,数学,,2022年度 中1 第2回
2234,0.74,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,74.0,数学,,2022年度 中1 第2回
2235,0.68,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,68.0,数学,,2022年度 中1 第2回
2236,0.83,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,83.0,数学,,2022年度 中1 第2回
2237,0.69,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,69.0,数学,,2022年度 中1 第2回
2238,0.79,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,79.0,数学,,2022年度 中1 第2回
2239,0.89,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,89.0,数学,,2022年度 中1 第2回
2240,0.54,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,54.0,数学,,2022年度 中1 第2回
2241,0.5,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,50.0,数学,,2022年度 中1 第2回
2242,0.75,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,75.0,数学,,2022年度 中1 第2回
2243,0.85,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,85.0,数学,,2022年度 中1 第2回
2244,0.8,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,80.0,数学,,2022年度 中1 第2回
2245,0.75,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,75.0,数学,,2022年度 中1 第2回
2246,0.59,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,59.0,数学,,2022年度 中1 第2回
2247,0.88,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,88.0,数学,,2022年度 中1 第2回
2248,0.77,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,77.0,数学,,2022年度 中1 第2回
2249,0.79,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,79.0,数学,,2022年度 中1 第2回
2251,0.84,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,84.0,数学,,2022年度 中1 第2回
2252,0.77,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,77.0,数学,,2022年度 中1 第2回
2253,0.86,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,86.0,数学,,2022年度 中1 第2回
2254,0.95,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,95.0,数学,,2022年度 中1 第2回
2255,0.48,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,48.0,数学,,2022年度 中1 第2回
2256,0.7,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,70.0,数学,,2022年度 中1 第2回
2257,0.74,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,74.0,数学,,2022年度 中1 第2回
2258,0.78,2022年度1年C組数学[中学],Benesse模試2回,2,2022,中1,78.0,数学,,2022年度 中1 第2回
