student_no,raw_score,exam_round,year,grade,subject,student_id
2530872,78.0,2,2023,中2,数学,2170
2530945,69.0,2,2023,中2,数学,2253
2531038,49.0,2,2023,中2,数学,2219
2531046,65.0,2,2023,中2,数学,2255
2531089,48.0,2,2023,中2,数学,2257
2531135,91.0,2,2023,中2,数学,2259
2531143,78.0,2,2023,中2,数学,2260
2531151,80.0,2,2023,中2,数学,2180
2531160,72.0,2,2023,中2,数学,2181
2531178,62.0,2,2023,中2,数学,2222
