id,student_no,Unnamed: 3,raw_score,student_id,year,grade,subject,exam_round
72526,2331055,saikyo.ed.jp,89,1376,2021,_2,__,2
72527,2331063,saikyo.ed.jp,71,1335,2021,_2,__,2
72528,2331080,saikyo.ed.jp,50,1377,2021,_2,__,2
72529,2331128,saikyo.ed.jp,92,1337,2021,_2,__,2
72530,2331160,saikyo.ed.jp,85,1298,2021,_2,__,2
72531,2331187,saikyo.ed.jp,94,1300,2021,_2,__,2
,2330016,73,73,1341,2021,_2,__,2
,2330024,83,83,1342,2021,_2,__,2
,2330032,77,77,1301,2021,_2,__,2
,2330067,96,96,1262,2021,_2,__,2
,2330075,60,60,1263,2021,_2,__,2
,2330083,75,75,1344,2021,_2,__,2
,2330121,83,83,1266,2021,_2,__,2
,2330180,90,90,1305,2021,_2,__,2
,2330237,75,75,1308,2021,_2,__,2
,2330261,80,80,1268,2021,_2,__,2
,2330270,68,68,1310,2021,_2,__,2
,2330326,75,75,1352,2021,_2,__,2
,2330334,52,52,1311,2021,_2,__,2
,2330385,91,91,1313,2021,_2,__,2
,2330393,71,71,1273,2021,_2,__,2
,2330415,78,78,1275,2021,_2,__,2
,2330440,81,81,1277,2021,_2,__,2
,2330474,71,71,1278,2021,_2,__,2
,2330490,56,56,1356,2021,_2,__,2
,2330504,84,84,1316,2021,_2,__,2
,2330580,79,79,1360,2021,_2,__,2
,2330636,97,97,1284,2021,_2,__,2
,2330628,,,1318,2021,_2,__,2
,2330660,96,96,1285,2021,_2,__,2
,2330717,74,74,1322,2021,_2,__,2
,2330768,95,95,1325,2021,_2,__,2
,2330733,49,49,1323,2021,_2,__,2
,2330776,79,79,1288,2021,_2,__,2
,2330784,81,81,1326,2021,_2,__,2
,2330857,78,78,1368,2021,_2,__,2
,2330881,79,79,1370,2021,_2,__,2
,2330970,85,85,1373,2021,_2,__,2
,2330989,88,88,1293,2021,_2,__,2
,2330997,77,77,1294,2021,_2,__,2
,2331039,71,71,1334,2021,_2,__,2
,2331047,72,72,1375,2021,_2,__,2
,2331071,98,98,1296,2021,_2,__,2
,2331110,97,97,1297,2021,_2,__,2
,2331136,78,78,1379,2021,_2,__,2
,2331179,77,77,1299,2021,_2,__,2
,2330105,,77,1302,2021,_2,__,2
,2330113,,78,1265,2021,_2,__,2
,2330164,,94,1267,2021,_2,__,2
,2330172,,94,1304,2021,_2,__,2
,2330229,,77,1348,2021,_2,__,2
,2330296,,71,1350,2021,_2,__,2
,2330300,,79,1270,2021,_2,__,2
,2330350,,75,1312,2021,_2,__,2
,2330369,,82,1272,2021,_2,__,2
,2330377,,74,1353,2021,_2,__,2
,2330407,,73,1274,2021,_2,__,2
,2330431,,91,1276,2021,_2,__,2
,2330512,,,1357,2021,_2,__,2
,2330520,,96,1358,2021,_2,__,2
,2330539,,87,1279,2021,_2,__,2
,2330555,,80,1359,2021,_2,__,2
,2330598,,83,1361,2021,_2,__,2
,2330644,,87,1319,2021,_2,__,2
,2330652,,98,1362,2021,_2,__,2
,2330679,,76,1320,2021,_2,__,2
,2330695,,88,1363,2021,_2,__,2
,2330725,,89,1364,2021,_2,__,2
,2330741,,81,1287,2021,_2,__,2
,2330750,,87,1324,2021,_2,__,2
,2330806,,94,1327,2021,_2,__,2
,2330814,,89,1366,2021,_2,__,2
,2330849,,100,1328,2021,_2,__,2
,2330903,,63,1329,2021,_2,__,2
,2330911,,94,1292,2021,_2,__,2
,2330920,,62,1331,2021,_2,__,2
,2330962,,85,1372,2021,_2,__,2
,2331004,,92,1295,2021,_2,__,2
,2331012,,74,1333,2021,_2,__,2
,2331020,,90,1374,2021,_2,__,2
,2331098,,76,1378,2021,_2,__,2
,2331101,,86,1336,2021,_2,__,2
,2331144,,93,1338,2021,_2,__,2
,2331152,,86,1339,2021,_2,__,2
,2331195,,100,1380,2021,_2,__,2
,2331209,,81,1340,2021,_2,__,2
