student_no,raw_score,exam_round,year,grade,subject,student_id,scaled,course_name,name,time_label
,64.0,1,2022,中2,,1821,0.64,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,59.0,1,2022,中2,,1823,0.59,2022年度2年A組数学[中学],Benesse模試1回,2022年度 中2 第1回
,80.0,1,2022,中2,,1711,0.8,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,61.0,1,2022,中2,,1716,0.61,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,78.0,1,2022,中2,,1717,0.78,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,76.0,1,2022,中2,,1723,0.76,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,73.0,1,2022,中2,,1729,0.73,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,63.0,1,2022,中2,,1732,0.63,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,75.0,1,2022,中2,,1737,0.75,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,81.0,1,2022,中2,,1739,0.81,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,69.0,1,2022,中2,,1742,0.69,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,87.0,1,2022,中2,,1748,0.87,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,69.0,1,2022,中2,,1752,0.69,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,91.0,1,2022,中2,,1755,0.91,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,77.0,1,2022,中2,,1757,0.77,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,68.0,1,2022,中2,,1758,0.68,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,57.99999999999999,1,2022,中2,,1760,0.58,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,63.0,1,2022,中2,,1764,0.63,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,74.0,1,2022,中2,,1765,0.74,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,81.0,1,2022,中2,,1769,0.81,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,75.0,1,2022,中2,,1770,0.75,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,76.0,1,2022,中2,,1772,0.76,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,40.0,1,2022,中2,,1774,0.4,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,28.000000000000004,1,2022,中2,,1777,0.28,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,88.0,1,2022,中2,,1781,0.88,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,40.0,1,2022,中2,,1785,0.4,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,79.0,1,2022,中2,,1787,0.79,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,65.0,1,2022,中2,,1788,0.65,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,65.0,1,2022,中2,,1793,0.65,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,73.0,1,2022,中2,,1804,0.73,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,89.0,1,2022,中2,,1809,0.89,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,72.0,1,2022,中2,,1812,0.72,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,83.0,1,2022,中2,,1814,0.83,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,55.00000000000001,1,2022,中2,,1815,0.55,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,63.0,1,2022,中2,,1817,0.63,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,59.0,1,2022,中2,,1818,0.59,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,85.0,1,2022,中2,,1820,0.85,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,61.0,1,2022,中2,,1822,0.61,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,64.0,1,2022,中2,,1824,0.64,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
,71.0,1,2022,中2,,1825,0.71,2022年度2年B組数学[中学],Benesse模試1回,2022年度 中2 第1回
